影片名;导演;主演;影片类型;评分;评分人数;短评数
007：大破量子危机 Quantum of Solace;马克·福斯特;丹尼尔·克雷格,欧嘉·柯瑞兰寇,马修·阿马立克,朱迪·丹奇,吉安卡罗·吉安尼尼,杰玛·阿特登,杰弗里·怀特,大卫·哈伯,加斯帕·克里斯滕森,安纳托·陶布曼,罗里·金尼尔,蒂姆·皮戈特-史密斯,华金·科西奥,费尔南多·古林·库弗,杰苏斯·欧乔阿,卢克雷齐亚·兰特·德拉·罗弗尔,格伦·福斯特,保罗·里特,西蒙·卡斯安德斯,斯坦娜·卡蒂克,尼尔·杰克逊,奥娜·卓别林,鲁弗斯·赖特,萨拉·哈德兰,马克·瓦克林,蕾切尔·麦克道威尔,罗非洛·迪格托勒,吉尔莫·德尔·托罗,阿方索·卡隆,卡米尔·克里希奇,大卫·德西奥,伊娃·格林,亚历山大·海瑟薇,埃迪·约瑟夫,德里克·李,布里安娜·梅根,诺曼·坎贝尔·里斯,克莱门斯·特伦克尔,迈克尔·G·威尔森;动作,惊悚,冒险;6.6;111511;14408
使徒行者2：谍影行动;文伟鸿;张家辉,古天乐,吴镇宇,姜珮瑶,张亦驰,刘宇宁,黄志忠,蔡洁,马德钟,袁伟豪,陈山聪,王君馨,张宝儿,江嘉敏,李忠希,刘楚恬,欧瑞伟,郑启泰,黄祥兴,徐荣,林伟,吴瑞庭,卫志豪,黎振烨,汤洛雯,许绍雄,关婉珊;剧情,动作,犯罪;6.2;181188;67957
机智牢房生活 슬기로운 감빵생활;申元浩;朴海秀,郑敬淏,郑秀晶,林华映,丁海寅,郑雄仁,金圣喆,李奎炯,郑敏圣,朴浩山,姜昇润,金景南,崔武成,崔胜元,成东日,金汉钟,周锡泰,姜基栋,朴亨洙,李道谦,申在河,廉惠兰,林哲亨,艺秀晶,李浩哲,刘在明,申隣雅,崔光一,张赫镇,金基楠,李太善,徐智勋;剧情,喜剧;9.4;200929;58643
公主日记 The Princess Diaries;盖瑞·马歇尔;朱莉·安德鲁斯,安妮·海瑟薇,埃克托尔·埃利松多,希瑟·玛塔拉佐,曼迪·摩尔,卡罗琳·古多尔,罗伯特·舒瓦兹曼,伊瑞克·冯·迪滕,帕特里克·约翰·弗吕格,肖恩·奥布赖恩,吴珊卓,凯瑟琳·马歇尔,明迪·布尔瓦诺,金姆利·史密斯,伊丽莎白·古登拉特,Tamara Levinson,莱诺尔·托马斯·道格拉斯,Cassie Rowell,托德·劳,乔尔·麦克拉里,克莱尔·塞拉,邦妮·阿伦斯,朱莉·帕丽斯,简·莫里斯,罗伯特·格劳蒂尼,Gwenda Perez,芭芭拉·马歇尔,山姆·丹诺夫,特雷西赖纳,Stanley Frazen,Willie Brown,帕特里克·里奇伍德,卡尔·马金恩,凯西·贾维尔,伊桑·桑德勒,Bud Markowitz,Mark Thompson,Brian Phelps,桑德拉·泰勒,汤姆·海因斯,尼科洛·汤姆,Lori Sigrist;喜剧,爱情,家庭;7.6;299807;44230
这个男人来自地球 The Man from Earth;理查德·沙因克曼;大卫·李·史密斯,托尼·托德,约翰·比灵斯列,安妮卡·彼得森,阿丽西丝·索普,威廉姆·卡特,理查德·雷西尔,艾伦·克劳福德,史蒂文·利特尔,罗比·布赖恩;剧情,科幻;8.5;339926;92852
超人总动员2 Incredibles 2;布拉德·伯德;格雷格·T·尼尔森,霍利·亨特,莎拉·沃威尔,赫克·米尔纳,伊莱·富西尔,凯瑟琳·基纳,塞缪尔·杰克逊,伊莎贝拉·罗西里尼,鲍勃·奥登科克,布拉德·伯德,索菲亚·布什,乔纳森·班克斯,约翰·拉岑贝格,金伯利·阿代尔·克拉克,托亚·特纳;喜剧,动作,动画,冒险;7.8;248207;62004
僵尸世界大战 World War Z;马克·福斯特;布拉德·皮特,米瑞·伊诺丝,马修·福克斯,埃里克·韦斯特,大卫·摩斯,詹姆斯·戴尔,伊莱耶斯·加贝尔,莫里兹·布雷多,斯特林·杰里斯,达妮埃拉·凯尔泰斯;动作,科幻,恐怖;7.6;258686;63515
山河故人;贾樟柯;赵涛,张译,梁景东,董子健,张艾嘉,荣梓杉,梁永浩,刘陆,原文倩;剧情,家庭;8.0;270532;85822
鬼灭之刃 剧场版 无限列车篇 劇場版 鬼滅の刃 無限列車編;外崎春雄;花江夏树,鬼头明里,下野纮,松冈祯丞,日野聪,平川大辅,石田彰,樱井孝宏,小西克幸,早见沙织,铃村健一,关智一,杉田智和,森川智之,佐藤利奈,三木真一郎,桑岛法子,本渡枫,大地叶,小原好美,古贺葵,小山力也,丰口惠美,榎木淳弥,伊濑茉莉也,笠间淳,千本木彩花,江口拓也,山村响,广濑裕也,高桥伸也,秋保佐永子,仲村宗悟,中惠光城;动画;7.9;89828;27791
去他*的世界 第一季 The End of the F***ing World Season 1;乔纳森·恩特威斯尔,露西·彻尼亚克;杰西卡·巴登,埃里克斯·劳瑟,史蒂夫·奥拉姆,杰玛·韦兰,乌米·马萨库,克里斯汀·博顿利,纳温·乔杜里,杰克·维尔,乔纳森·阿里斯,巴里·沃德,凯莉·哈里森,霍莉·比奇,波丽·坎普,亚历克斯·索耶,伊莲恩·戴维斯,凯利斯顿·韦勒英,艾玛·阿普尔顿,杰夫·贝尔,玛格丽特·安·贝恩,亚当·布朗,亚历克斯·贝克特,朱丽叶·考恩,马特·金,海韦尔·摩根,利昂·阿诺,加里·萨默斯,莉莉·卡瓦纳,西蒙·勒纳根,泰勒斯·麦肯齐,路易斯·温特,厄尔·凯夫,费莉西蒂·蒙塔古;剧情,喜剧,悬疑,犯罪;9.1;296366;80512
鬼灭之刃 无限列车篇 鬼滅の刃 無限列車編;外崎春雄;花江夏树,鬼头明里,下野纮,松冈祯丞,日野聪,平川大辅,石田彰,千叶进步,小山力也,榎木淳弥,井上喜久子,水濑祈;动画,奇幻;9.2;50063;11653
美好的世界 すばらしき世界;西川美和;役所广司,仲野太贺,长泽雅美,桥爪功,梶芽衣子,六角精儿,北村有起哉,白龙,木村绿子,安田成美;剧情,犯罪;8.3;18104;6871
精灵旅社 Hotel Transylvania;格恩迪·塔塔科夫斯基;亚当·桑德勒,安迪·萨姆伯格,赛琳娜·戈麦斯,凯文·詹姆斯,法兰·德瑞雪,史蒂夫·布西密,莫莉·香侬,大卫·斯佩德,席洛·格林,乔恩·拉威茨,布莱恩·乔治,路奈尔·坎贝尔,布莱恩·斯达克,克里斯·帕内尔,杰姬·桑德勒,莎蒂·桑德勒,罗伯特·斯密戈尔,罗伯·里格尔,保罗·布里顿,乔尼·所罗门,吉姆·怀斯,克雷格·凯尔曼,布莱恩·麦肯;喜剧,动画,奇幻;8.0;230501;52561
速度与激情2 2 Fast 2 Furious;约翰·辛格顿;保罗·沃克,泰瑞斯·吉布森,伊娃·门德斯,科尔·豪瑟,卢达·克里斯,汤姆·巴瑞,詹姆斯·瑞马尔,戴文青木,阿莫里·诺拉斯科,迈克尔·伊雷,欧阳靖,爱德华多·芬莱,小马克·布恩,莫·加里尼,罗伯托·桑切斯;动作,犯罪;7.5;137884;14417
家有喜事 家有囍事;高志森;张国荣,周星驰,张曼玉,吴君如,黄百鸣,陈淑兰,毛舜筠,李香琴,关海山,高志森,谷德昭,李丽珍,黄霑,黄光亮,何佩儿;剧情,喜剧,爱情,家庭;8.4;238228;40091
大红灯笼高高挂;张艺谋;巩俐,马精武,何赛飞,曹翠芬,周琦,孔琳,金淑媛,丁惟敏,初晓;剧情;8.7;224507;46897
永不消逝的电波;王苹;孙道临,袁霞,王心刚,陆丽珠,黄宛苏,霍德集,李力,里坡,白钢,刘江,陆立之,曲云,王骏,王孝忠,吴凡,邢吉田,颜碧君,张帆,张亨利,张怀志,张璋,孟庆芳,刘秉章,朱毅之;剧情,悬疑,战争;8.0;12969;3844
缉魂 緝魂;程伟豪;张震,张钧甯,孙安可,李铭顺,张柏嘉,林晖闵,古斌,吕雪凤,林鹤轩,吴志庆,张哲豪;科幻,悬疑,惊悚,犯罪;6.8;191000;75234
金刚：骷髅岛 Kong: Skull Island;乔丹·沃格特-罗伯茨;汤姆·希德勒斯顿,塞缪尔·杰克逊,布丽·拉尔森,约翰·C·赖利,约翰·古德曼,科里·霍金斯,约翰·奥提兹,景甜,托比·凯贝尔,杰森·米切尔,谢伊·惠格姆,托马斯·曼,尤金·科德罗,马克·埃文·杰克逊,威尔·布里顿,石原贵雅,理查德·詹金斯,艾琳·瑞秋,罗伯特·泰勒,詹姆斯·M.康纳,托马斯·米德蒂奇,布莱恩·萨卡,乔恩·奎斯蒂德,达特·樊,吴辛惠,贝丝·肯尼迪,泰瑞·诺塔里,莫伊塞斯·阿里亚斯,拉吉·K.波斯,丹·格伦伯格,Mitchell L. Johnson,凯文·肯特,肖恩·麦克布莱德,萨尔瓦多·梅伦达,艾琳·莫里亚蒂,托西克欧尼扎瓦,尼克·罗宾森;动作,奇幻,冒险;6.5;220081;67923
宝莲灯;常光希;姜文,徐帆,宁静,陈佩斯,崔杰,丁嘉丽,江平,雷恪生,梁天,马精武,马羚,马晓晴;动画,奇幻,冒险;8.4;172364;27202
流浪猫鲍勃 A Street Cat Named Bob;罗杰·斯波蒂斯伍德;卢克·崔德威,猫鲍勃,露塔·格德米纳斯,琼安·弗洛加特,安东尼·海德,戴伦·伊万斯,里维拉·吉迪恩,洛琳·艾什本,阿卡巴尔·库尔塔,约翰·亨肖,贝丝·戈达德,伊万娜·贝斯克,妮娜·瓦迪娅,罗茜·伊德,鲁斯·西恩,卡罗琳·古多尔,雅各布·詹姆斯·贝西克,罗伯·贾维斯,丹尼尔·弗恩,詹姆斯·鲍恩,李·尼古拉斯·哈里斯,丹尼尔·斯蒂森;剧情,喜剧,传记;7.9;190247;62918
美国丽人 American Beauty;萨姆·门德斯;凯文·史派西,安妮特·贝宁,索拉·伯奇,韦斯·本特利,米娜·苏瓦丽,彼得·盖勒,艾莉森·珍妮,克里斯·库珀,斯科特·巴库拉,山姆·洛巴兹,巴里·德尔·舍曼,阿若·希利,约翰·赵,肯特·法尔考,希瑟·乔伊·谢尔,切尔西·赫特福德,安贝尔·史密斯,乔尔·麦克拉里,玛丽莎·贾里特·威诺克,丹尼斯·安德森;剧情,爱情,家庭;8.5;307991;69080
碟中谍 Mission: Impossible;布莱恩·德·帕尔玛;汤姆·克鲁斯,强·沃特,艾曼纽·贝阿,亨利·科泽尼,让·雷诺,文·瑞姆斯,克里斯汀·斯科特·托马斯,瓦妮莎·雷德格雷夫,茵格保加·达坤耐特,瓦伦蒂娜·雅库尼亚,马雷克·瓦苏特,Nathan Osgood,John McLaughlin,罗尔夫·萨克森,卡雷尔·多布雷,安德雷斯·魏斯涅夫斯基,Gaston Subert,里科·罗斯,Bob Friend,安娜贝尔·穆利恩,加里克·哈根,Jirina Trebická,山姆·道格拉斯,奥莱加·费多罗,大卫·施奈德,海伦·林赛,兰德尔·保罗,迈克尔·罗杰斯,劳拉·布鲁克,梅丽莎·纳奇布尔,扬·卡拉米特鲁,代尔·戴,马塞尔·尤勒斯,基思·坎贝尔,艾米利奥·艾斯特维兹,哈里·弗雷德尔,约翰·诺尔;动作,惊悚,冒险;8.2;236454;32850
死寂 Dead Silence;温子仁;唐尼·沃尔伯格,安贝·瓦莱塔,瑞恩·柯万腾,迈克尔·费尔曼,鲍勃·冈顿,劳拉·里根;悬疑,恐怖;7.8;238901;52581
一九四二;冯小刚;张国立,张默,徐帆,李雪健,陈道明,艾德里安·布洛迪,蒂姆·罗宾斯,冯远征,张涵予,王子文,段奕宏,范伟,柯蓝,张国强,林永健,乔振宇,李倩,赵毅;剧情,历史,战争,灾难;8.0;281842;77684
扫毒 掃毒;陈木胜;古天乐,张家辉,刘青云,袁泉,卢海鹏,吴廷烨,林国斌,卢惠光,吴岱融,宝儿,马浴柯,释彦能,罗兰,李兆基,维他亚·潘斯林加姆,罗钧满;剧情,动作,悬疑,犯罪;7.5;247688;71852
红楼梦;王扶林;欧阳奋强,陈晓旭,邓婕,张莉,李婷,袁玫,张蕾,郭霄珍,周贤珍,郑铮,高宏亮,潘虹,东方闻樱,李颉,王贵娥,夏明辉,胡泽红,马广儒,金莉莉,马加奇,沈琳,安雯,陈剑月,沙玉华,牟一,夏丽蓉,姬培杰,孙梦泉,李志新,杨俊勇,吴晓东,王羊,战爱霞,苏秋冬,王蔚,侯长荣,李伊,刘继红,张迎玖,谷童,沈璐,张明明,周月,王萱,李玥,徐丽霞,陈力,李楠,杨晓玲,韩流流;剧情,爱情,古装;9.7;198121;57668
速度与激情3：东京漂移 The Fast and the Furious: Tokyo Drift;林诣彬;卢卡斯·布莱克,宝娃,扎切里·泰·布莱恩,纳塔莉·凯利,布莱恩·古德曼,姜成镐,布莱恩·泰,妻夫木聪,北川景子,千叶真一,范·迪塞尔,真木阳子;动作,犯罪;6.9;134605;18507
摄影机不要停！ カメラを止めるな！;上田慎一郎;滨津隆之,真鱼,主浜晴美,秋山柚稀,长屋和彰,细井学,市原洋,山崎俊太郎,大泽真一郎,竹原芳子,吉田美纪,合田纯奈,浅森咲希奈,山口友和,藤村拓矢,岩合智史,高桥恭子;喜剧,恐怖;8.2;173106;66213
焦土之城 Incendies;丹尼斯·维伦纽瓦;卢巴纳·阿兹巴尔,梅丽莎·德索蒙斯-波林,马克西姆·高德特,雷米·吉拉德,杰基·萨维里斯,巴亚·贝拉尔,Yousef Shweihat,卡里姆·巴宾,Mohamed Majd;剧情,悬疑,战争;8.6;51973;19397
万物理论 The Theory of Everything;詹姆斯·马什;埃迪·雷德梅恩,菲丽希缇·琼斯,大卫·休里斯,艾米丽·沃森,查理·考克斯,哈里·劳埃德,艾丽丝·奥尔尤因,玛克辛·皮克,亚当·戈德利,西蒙·迈克伯尼,阿比盖尔·克鲁特登,露西·查普尔,夏洛特·霍普,拉菲拉·查普曼,汤姆·普赖尔,恩佐·科伦蒂,托马斯·莫里森,迈克尔·马库斯,格拉法德·格林,盖伊·奥利弗-沃茨,克里斯蒂安·麦凯,伊莲恩·戴维斯,乔格·尼可洛夫,维多利亚·埃姆斯利,弗兰克·勒伯夫;剧情,爱情,传记;8.4;259143;70520
黑衣人3 Men in Black III;巴里·索南菲尔德;威尔·史密斯,汤米·李·琼斯,乔什·布洛林,杰梅奈·克莱门特,艾玛·汤普森,尼可·斯彻金格,爱丽丝·伊芙,大卫·拉斯彻,比尔·哈德尔,迈克尔·斯图巴;喜剧,动作,科幻;7.7;269374;63190
叶问3;叶伟信;甄子丹,迈克·泰森,张晋,熊黛林,谭耀文,吴千语,喻亢,郑则仕,梁家仁,张继聪,陈国坤,刘以达,宗菲,曹操,王实,崔璨,刘艺菲;剧情,动作,传记,历史;6.6;151456;34958
悟空传;郭子健;彭于晏,倪妮,余文乐,俞飞鸿,欧豪,乔杉,杨迪,巴音,王德顺,李尚恩,张承阳;剧情,动作,奇幻;5.1;219904;87845
长歌行;朱锐斌;迪丽热巴,吴磊,刘宇宁,赵露思,方逸伦,张浩哲,王小伟,程诚,易大千,曹曦月,娃尔,刘海宽,李光复,耿乐,成泰燊,萨顶顶,刘楚玄,锦浠;剧情,古装;5.8;252837;121243
甜蜜家园 스위트홈;李应福;宋江,李是英,李到晛,李阵郁,朴珪瑛,高旻示,金南熙,高允贞,金甲洙,金相浩;剧情,惊悚,恐怖;7.8;119611;39033
小王子 Le Petit Prince;马克·奥斯本;杰夫·布里吉斯,麦肯吉·弗依,瑞秋·麦克亚当斯,瑞利·奥斯本,詹姆斯·弗兰科,玛丽昂·歌迪亚,本尼西奥·德尔·托罗,保罗·路德,艾伯特·布鲁克斯,巴德·库特,瑞奇·热维斯,保罗·吉亚玛提,杰奎·巴恩布鲁克,马塞尔·布里奇斯,杰菲·布莱尼恩;动画,奇幻;8.3;303307;93438
蝙蝠侠大战超人：正义黎明 Batman v Superman: Dawn of Justice;扎克·施奈德;本·阿弗莱克,亨利·卡维尔,艾米·亚当斯,盖尔·加朵,杰西·艾森伯格,戴安·琳恩,劳伦斯·菲什伯恩,杰瑞米·艾恩斯,霍利·亨特,斯科特·麦克纳里,卡兰·马尔韦,冈本多绪,布兰登·斯平克,劳伦·科汉,迈克尔·珊农;动作,科幻,奇幻,冒险;6.9;268330;83170
被遗忘的战役 De slag om de Schelde;马蒂耶斯·范·小海因根;吉斯·布洛姆,杰米·福雷特斯,苏珊·雷德尔,扬·贝弗特,汤姆·费尔顿,科恩·布里尔,西奥·巴克利姆-比格斯,斯科特·里德,Marthe Schneider,Ronald Kalter,Hayo Bruins,尤斯图斯·冯·多赫纳尼,Joep Paddenburg,马克·范·伊文,Vincent van den Berg,Bianca Krijgsman,皮特·布科夫斯基,罗吉尔·席佩斯,罗伯特·内勒,戈登·莫里斯,理查德·迪兰,雅各布·迪尔,Simon Lee Phillips,马蒂克斯·舍佩斯,戴兰·史密斯,Ilja Roßbander,丹·希尔斯特;剧情,战争;7.6;5746;1648
胜者即是正义 リーガル・ハイ;石川淳一,城宝秀则;堺雅人,新垣结衣,生濑胜久,小池荣子,里见浩太朗,矢野圣人,田口淳之介,中村苍,正名仆蔵,六角慎司,波瑠,津村知与支,中原丈雄,福田沙纪,野添义弘,鹤见辰吾,洼田正孝,小出早织,友近,永山绚斗,原田夏希,东根作寿英,阿知波悟美,载宁龙二,大和田伸也,村井美树,德井优,江守彻,津田宽治,户田昌宏,春木美沙代,铃木京香,铃木一真,青山伦子,皆川猿时,宍户美和公,丸山智己,木南晴夏,伊吹吾郎,山谷初男,中村敦夫,吉川爱,小泽真珠,冈山一,坂口涌久,丹古母鬼马二,千叶雅子,左时枝,二瓶鲛一,田村泰二郎,横内正,西原亚希,坂田雅信,神保悟志 ,田畑智子,东干久,近江谷太朗,榊英雄,小野惠令奈;剧情,喜剧,犯罪;9.4;305187;79746
千钧一发 Gattaca;安德鲁·尼科尔;伊桑·霍克,乌玛·瑟曼,裘德·洛,艾伦·阿金,戈尔·维达尔,山德·贝克利,劳恩·迪恩,简妮·布鲁克,伊莱亚斯·科泰斯,玛娅·鲁道夫,伍娜·戴蒙,布莱尔·安德伍德,梅森·甘布,威廉姆·李·斯科特,欧内斯特·博格宁,托尼·夏尔赫布,肯·马里诺,加布里埃尔·瑞丝,迪恩·诺里斯,丹格里芬,格雷戈·赛斯特罗,Elizabeth Dennehy,查德·克里斯特,George Marshall Ruge;剧情,科幻,惊悚;8.8;252396;67340
暮光之城4：破晓(下) The Twilight Saga: Breaking Dawn - Part 2;比尔·康顿;克里斯汀·斯图尔特,罗伯特·帕丁森,泰勒·洛特纳,彼得·费辛利,伊莉莎白·里瑟,阿什丽·格林尼,杰克逊·拉斯波恩,凯南·鲁兹,妮基·瑞德,比利·伯克,查斯科·斯宾塞,麦肯吉·弗依,玛姬·格蕾斯,杰米·坎贝尔·鲍尔,克里斯托弗·赫耶达尔,麦克·辛,拉蒂夫·克劳德,丹尼尔·库德摩尔,查理·比尤利,达科塔·范宁,卡梅隆·布莱特,安德莉亚·鲍威尔,玛安娜·本灵,Casey LaBow,米娅·麦斯特罗,克里斯蒂安·卡玛戈,奥玛尔·梅特瓦利,安德里亚·加布里埃尔,安吉拉·萨拉弗安,拉米·马雷克,朱迪斯·沙克妮,约翰·爱德华·李,李·佩斯,比尔·坦拉蒂,托尼·特拉克斯,Erik Odom,瓦莱瑞·卡瑞,乔·安德森,古里·温伯格,诺尔·费舍,Amadou Ly,维德尔·皮尔斯,茱莉亚·琼斯,波波·斯图尔特,J.D.普拉多,克里斯蒂·柏克,吉尔·伯明翰,全知泰,莎拉·克拉克,祖蒂·弗兰,艾迪·盖瑟吉,凯姆·吉甘戴,凯欧瓦·高登,格雷厄姆·格林,泰森·豪斯曼,布莱丝·达拉斯·霍华德,安娜·肯德里克,婷塞尔·柯瑞,蕾切尔·勒费夫尔,亚历克斯·梅拉兹,布朗森·佩尔提埃,泽维尔·塞缪尔,克里斯蒂·瑟拉图斯,迈克·韦尔奇,保罗·贝克,泰勒·福雷斯特,约书亚·古铁雷斯;剧情,爱情,惊悚,奇幻,冒险;7.2;157936;31407
猜火车 Trainspotting;丹尼·博伊尔;伊万·麦克格雷格,艾文·布莱纳,约翰尼·李·米勒,凯文·麦克基德,罗伯特·卡莱尔,凯莉·麦克唐纳,彼得·穆兰,詹姆斯·科兹莫,艾琳·尼古拉斯,苏珊·维德勒,波林·林奇,雪莉·亨德森,斯图尔特·麦克奎里,埃文·威尔什,戴尔·温顿,基思·艾伦,凯文·艾伦,菲奥娜·贝尔,休·罗斯,芬利·威尔士,汤姆·德尔玛,约翰·霍奇,安德鲁·麦克唐纳,Stuart McGugan;剧情,犯罪;8.6;383064;81802
小小的愿望;田羽生;彭昱畅,王大陆,魏大勋,曾梦雪,贾冰,岳旸,李歌;剧情,喜剧;5.0;131194;44928
妖铃铃;吴君如;吴君如,沈腾,岳云鹏,张译,姜逸磊,吴镇宇,方中信,焦俊艳,潘斌龙,阿如那,许君聪,李亦航,周冬雨,马思纯,李尚正;喜剧,惊悚;4.2;138059;43012
你看起来好像很好吃 おまえうまそうだな;藤森雅也;山口胜平,爱河里花子,加藤清史郎,原田知世,川岛得爱,折笠富美子,桐本拓哉,别所哲也,矢田稔,川村万梨阿,高乃丽,小室正幸,江川央生,志村知幸,胜沼纪义,井田国男,宫西达也,宫西美奈子;剧情,动画,儿童;8.9;300268;84972
蓝色大门 藍色大門;易智言;陈柏霖,桂纶镁,梁又琳,仇政,明金成,林贤能,黄江丰,是元介,姚元浩,游智炜,翁桂邦,夏绍虞,陈梦萱;剧情,爱情,同性;8.4;384055;101136
杀死比尔2 Kill Bill: Vol. 2;昆汀·塔伦蒂诺;乌玛·瑟曼,大卫·卡拉丁,刘家辉,薇薇卡·福克斯,刘玉玲,迈克尔·马德森,达丽尔·汉纳,塞缪尔·杰克逊,佩拉·哈莉-贾德林,迈克尔·帕克斯,克拉克·米德尔顿;动作,惊悚,犯罪;8.1;270203;43097
万物生灵 第一季 All Creatures Great and Small Season 1;安迪·海伊,布莱恩·派西维尔,梅丁·休西因;尼古拉斯·瑞夫,安娜·梅德利,萨缪尔·韦斯特,瑞秋·申顿,卡勒姆·伍德豪斯,马修·刘易斯,黛安娜·里格,亚历克西斯·普拉特,奈杰尔·贝茨,德里克,菲利普·加斯科因,奈杰尔·哈弗斯,梅拉尼·基尔伯恩,苏珊·詹姆森,肖恩·卡尔森,麦米·麦考伊,史蒂夫·杰克逊,托尼·皮茨,娜奥米·拉德克利夫,David Fleeshman,史蒂文·布莱克利,哈里特·斯莱特,Mark Noble,Mollie Winnard,Imogen Clawson,Drew Cain;剧情;9.3;64771;20092
超人总动员 The Incredibles;布拉德·伯德;格雷格·T·尼尔森,霍利·亨特,塞缪尔·杰克逊,杰森·李,泰迪·牛顿,华莱士·肖恩;喜剧,动作,动画,冒险;8.2;274584;30404
起跑线 Hindi Medium;萨基特·乔杜里;伊尔凡·可汗,萨巴·卡玛尔,内哈·迪胡皮阿,迪帕克·迪布里亚尔,蒂希塔·塞加尔,阿莫瑞塔·金格,蒂洛塔玛·索姆,桑贾娜·桑吉,拉杰什·沙玛,桑贾伊·萨里,玛丽卡·杜阿,基兰·寇杰,丹尼·苏拉,斯沃蒂·达斯,苏米特·古拉蒂;剧情,喜剧;7.9;199480;56751
一步之遥;姜文;姜文,葛优,周韵,舒淇,文章,王志文,洪晃,刘利年,那英,刘索拉,牛犇,姜洪齐;剧情,喜剧,动作;6.6;289417;109656
士兵突击;康洪雷;王宝强,陈思诚,段奕宏,张译,邢佳栋,张国强,李晨,范雷,高峰;剧情;9.4;183017;47629
牯岭街少年杀人事件 牯嶺街少年殺人事件;杨德昌;张震,杨静怡,张国柱,王启赞,林鸿铭,金燕玲,王琄,张翰,姜秀琼,赖梵耘,柯宇纶,谭志刚,冯国强,陈湘琪,金士杰;剧情,犯罪;8.9;247727;65555
